日期,锻炼名称,运动名称,设置顺序,重量,次,距离,秒,备注,锻炼备注,id
2019-06-10 18:13:04,工作日-上身,Overhead Press (Dumbbell),1,10.0,8,0,0,,,20190610181304OverheadPressDumbbell1
2019-06-10 18:13:04,工作日-上身,Overhead Press (Dumbbell),2,10.0,8,0,0,,,20190610181304OverheadPressDumbbell2
2019-06-10 18:13:04,工作日-上身,Overhead Press (Dumbbell),3,10.0,8,0,0,,,20190610181304OverheadPressDumbbell3
2019-06-10 18:13:04,工作日-上身,Arnold Press (Dumbbell),1,10.0,8,0,0,,,20190610181304ArnoldPressDumbbell1
2019-06-10 18:13:04,工作日-上身,Arnold Press (Dumbbell),2,10.0,8,0,0,,,20190610181304ArnoldPressDumbbell2
2019-06-10 18:13:04,工作日-上身,Arnold Press (Dumbbell),3,10.0,8,0,0,,,20190610181304ArnoldPressDumbbell3
2019-06-10 18:13:04,工作日-上身,Bent Over Row (Dumbbell),1,10.0,10,0,0,,,20190610181304BentOverRowDumbbell1
2019-06-10 18:13:04,工作日-上身,Bent Over Row (Dumbbell),2,10.0,10,0,0,,,20190610181304BentOverRowDumbbell2
2019-06-10 18:13:04,工作日-上身,Bent Over Row (Dumbbell),3,10.0,10,0,0,,,20190610181304BentOverRowDumbbell3
2019-06-10 18:13:04,工作日-上身,Bent Over Row (Dumbbell),4,10.0,10,0,0,,,20190610181304BentOverRowDumbbell4
2019-06-10 18:13:04,工作日-上身,Bicep Curl (Dumbbell),1,10.0,8,0,0,,,20190610181304BicepCurlDumbbell1
2019-06-10 18:13:04,工作日-上身,Bicep Curl (Dumbbell),2,10.0,8,0,0,,,20190610181304BicepCurlDumbbell2
2019-06-10 18:13:04,工作日-上身,Bicep Curl (Dumbbell),3,10.0,8,0,0,,,20190610181304BicepCurlDumbbell3
2019-06-10 18:13:04,工作日-上身,Bicep Curl (Dumbbell),4,10.0,8,0,0,,,20190610181304BicepCurlDumbbell4
2019-06-10 18:13:04,工作日-上身,Bent Over One Arm Row (Dumbbell),1,10.0,8,0,0,,,20190610181304BentOverOneArmRowDumbbell1
2019-06-10 18:13:04,工作日-上身,Bent Over One Arm Row (Dumbbell),2,10.0,8,0,0,,,20190610181304BentOverOneArmRowDumbbell2
2019-06-10 18:13:04,工作日-上身,Bent Over One Arm Row (Dumbbell),3,10.0,8,0,0,,,20190610181304BentOverOneArmRowDumbbell3
2019-06-10 18:13:04,工作日-上身,Stretching,1,0.0,0,0,30,,,20190610181304Stretching1
